instance,aga nd avg,aga nd stdev,adhoc nd avg,adhoc nd stdev,aga spread avg,aga spread stdev,adhoc spread avg,adhoc spread stdev,aga hv avg,aga hv stdev,adhoc hv avg,adhoc hv stdev,aga igd avg,aga igd stdev,adhoc igd avg,adhoc igd stdev
11 A.u_c_lolo,2.0,0.930949336251,2.46666666667,1.02415276638 ,0.843191777778,0.123178259364,0.854606884615,0.108743419753 ,0.0790639768799,0.123084216075,0.0368444220579,0.079318887646 ,0.268009459091,0.123958567759,0.322686658684,0.119778248836
11 B.u_c_hihi,7.4,2.25979350089,3.73333333333,1.33998341615 ,0.936090833333,0.131997284467,0.842233566667,0.241216744198 ,0.128286062903,0.136583192252,0.0273234184413,0.0477881322446 ,0.139234727819,0.0529947292233,0.207017783692,0.0639994336662
11 B.u_c_hilo,7.93333333333,1.84270332814,3.46666666667,1.02415276638 ,0.887928133333,0.121702650335,0.842254366667,0.236596172743 ,0.2684121521,0.124797476277,0.0214703617249,0.0486994814154 ,0.0780763207454,0.0281911024231,0.181795094473,0.0535901753429
11 B.u_c_lohi,7.23333333333,2.33357141642,3.93333333333,1.18133634311 ,0.953778866667,0.111653813588,0.915813566667,0.192226507066 ,0.109147892156,0.162793249993,0.0242844152416,0.0719743082357 ,0.245670491044,0.10813037343,0.353256331283,0.133536628498
11 B.u_c_lolo,7.83333333333,1.18556128292,3.7,1.03762549442 ,0.7813715,0.155657602703,0.794139533333,0.246167381922 ,0.253783531467,0.13973548764,0.0532394287933,0.0900791781953 ,0.0614305861771,0.0278745064818,0.105971726959,0.030729098721
13 A.u_c_hihi,9.2,1.53622914957,4.76666666667,1.20231258646 ,0.993951833333,0.136293414194,0.990522,0.170868357745 ,0.0589955869887,0.0823509523298,0.0265485957618,0.0489768961774 ,0.217396122627,0.07726875831,0.255297216174,0.0744597253255
13 A.u_c_hilo,9.46666666667,1.08730042869,4.7,1.53079500043 ,1.0518948,0.122524843166,0.924053133333,0.279772376334 ,0.094108034545,0.110096511774,0.0838516099475,0.143774359159 ,0.115501189157,0.0632471594618,0.141296613905,0.048558302765
13 A.u_c_lohi,6.33333333333,1.6996731712,3.73333333333,1.26315302143 ,0.713844633333,0.208042040471,0.7899722,0.231773966758 ,0.0601770943874,0.0740065607652,0.00698989419083,0.0237686111384 ,0.124941557303,0.0437203418336,0.204682383403,0.0566571555899
13 A.u_c_lolo,2.26666666667,0.928559218479,1.63333333333,0.604611904907 ,0.852412695652,0.102983615602,0.779103588235,0.156146751842 ,0.19666466082,0.147958301268,0.231806741155,0.180497589799 ,0.215613089925,0.0394036939443,0.219252614208,0.0510542355967
13 B.u_c_hihi,7.03333333333,2.38723456931,4.53333333333,1.35973853696 ,0.993194533333,0.118818403394,0.934709,0.14726364257 ,0.089438108994,0.152485936061,0.0256772979754,0.081860999284 ,0.261936413455,0.127849064446,0.365574627223,0.13305728883
