Computed PF file: mls-eval-d200-c15/mls-eval-d200-c15
Num. executions : 20
Min. coverage   : 15.0

Computed PF [count=910]
37.5259 23.0000 1.4000
31.3096 20.8000 1.0000
40.4004 24.4000 1.6000
50.9877 28.6000 2.2000
34.7339 21.4000 1.2000
47.3733 27.8000 2.0000
18.5805 15.2000 0.2000
75.2243 36.8000 3.8000
107.0070 44.8000 5.8000
148.1050 48.8000 8.4000
34.6185 21.0000 1.2000
94.5525 41.8000 5.0000
56.7458 34.2000 2.6000
43.5988 24.8000 1.8000
137.6410 47.8000 7.8000
100.4280 44.0000 5.4000
28.0911 18.2000 0.8000
40.4834 24.6000 1.6000
37.2390 21.6000 1.4000
113.7030 46.2000 6.2000
143.9550 48.6000 8.2000
167.9930 49.0000 9.8000
94.0890 40.0000 5.0000
50.8073 28.2000 2.2000
59.9246 34.4000 2.8000
56.1115 31.0000 2.6000
28.4063 19.0000 0.8000
84.9138 38.6000 4.4000
78.4626 38.4000 4.0000
123.0310 46.8000 6.8000
69.5007 34.8000 3.4000
50.8948 28.4000 2.2000
72.2981 35.0000 3.6000
43.6457 25.8000 1.8000
75.2988 37.0000 3.8000
91.5188 39.8000 4.8000
44.1898 26.6000 1.8000
40.3902 24.0000 1.6000
66.6777 34.6000 3.2000
23.5716 17.2000 0.5000
51.7690 30.8000 2.3000
94.3069 41.2000 5.0000
21.7361 16.6000 0.4000
78.4626 38.4000 4.0000
18.5805 15.2000 0.2000
69.3045 34.8000 3.4000
40.3902 24.0000 1.6000
56.7458 34.2000 2.6000
43.6441 25.8000 1.8000
50.7739 28.4000 2.2000
43.5733 24.8000 1.8000
159.5880 48.8000 9.2000
135.0450 46.6000 7.6000
140.7800 47.8000 8.0000
34.7553 21.4000 1.2000
59.9246 34.4000 2.8000
141.4570 48.0000 8.0000
56.1292 31.8000 2.6000
138.2320 47.4000 7.8000
153.9790 48.4000 8.8000
75.7370 37.6000 3.8000
69.7806 36.0000 3.4000
150.0210 48.2000 8.6000
37.2390 21.6000 1.4000
28.0911 18.2000 0.8000
40.4834 24.6000 1.6000
98.1474 41.8000 5.2000
56.1115 31.0000 2.6000
28.4063 19.0000 0.8000
37.5259 23.0000 1.4000
50.0418 27.6000 2.2000
50.7291 28.2000 2.2000
69.1883 34.6000 3.4000
50.9877 28.6000 2.2000
100.3720 42.8000 5.4000
94.0434 39.8000 5.0000
129.3310 46.2000 7.2000
160.5950 49.0000 9.2000
113.0210 45.0000 6.2000
31.3096 20.8000 1.0000
94.1285 40.2000 5.0000
103.7660 44.4000 5.6000
91.6476 38.6000 4.8000
100.4270 43.8000 5.4000
113.3750 45.8000 6.2000
107.0020 44.8000 5.8000
44.2022 26.6000 1.8000
23.5716 17.2000 0.5000
51.7690 30.8000 2.3000
173.1490 49.0000 10.2000
21.7361 16.6000 0.4000
59.9384 34.4000 2.8000
59.5825 34.2000 2.8000
97.1090 43.2000 5.2000
56.1115 31.0000 2.6000
46.7251 26.0000 2.0000
18.5805 15.2000 0.2000
40.4834 24.6000 1.6000
31.3096 20.8000 1.0000
37.2390 21.6000 1.4000
43.6441 25.8000 1.8000
79.1603 38.4000 4.0000
91.3974 39.8000 4.8000
79.0948 38.2000 4.0000
94.0435 40.0000 5.0000
37.5259 23.0000 1.4000
106.9540 44.4000 5.8000
84.9138 38.6000 4.4000
110.7010 45.0000 6.0000
50.9877 28.6000 2.2000
77.8929 37.2000 4.0000
94.3250 41.2000 5.0000
69.7759 36.4000 3.4000
106.8030 44.0000 5.8000
135.0110 47.8000 7.6000
47.1794 26.4000 2.0000
43.5871 24.8000 1.8000
28.4063 19.0000 0.8000
159.1020 48.8000 9.2000
