[INFO] Cantidad de iteraciones 3000000.
[INFO] Number of threads 2.
[INFO] === Initializing Billion GA ====================
[INFO] Problem size    : 33554432
[INFO] Population size : 1024
[INFO] Num. of vectors : 2
[INFO] Delta           : 1
[INFO] Prob. min. value: 1
[INFO] Prob. max. value: 1024
[INFO] Requesting a size 2 prob_vector_size CPU memory
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting CPU memory for sample 0 vectors array
[INFO] > Requesting CPU memory for sample 1 vectors array
[INFO] Requesting samples_fitness CPU memory (size: 2)
[INFO] === Solicitando memoria para el thread 0 =====
[INFO] > Requesting 16777216 bits GPU memory for prob_vector 0 (size: 16777216 / 64 Mb)
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting sample 0 GPU memory for vector 0 (size: 524288 / 2 Mb)
[INFO] > Requesting sample 1 GPU memory for vector 0 (size: 524288 / 2 Mb)
iter,f1,f2,avg f1 f2,time
0,0,0,0.0000,0.0000,7398.795942
[INFO] === Solicitando memoria para el thread 1 =====
[INFO] > Requesting 16777216 bits GPU memory for prob_vector 1 (size: 16777216 / 64 Mb)
[INFO] Requesting a size 2 samples CPU memory
[INFO] > Requesting sample 0 GPU memory for vector 1 (size: 524288 / 2 Mb)
[INFO] > Requesting sample 1 GPU memory for vector 1 (size: 524288 / 2 Mb)
iter,f1,f2,avg f1 f2,time
2120000,11977657,11977533,11977595.0000,35.6960,34743054.675409
2130000,11991292,11991451,11991372.0000,35.7371,34905523.132653
2140000,12004814,12005094,12004954.0000,35.7775,35067990.248844
2150000,12019354,12018170,12018762.0000,35.8187,35230461.271322
2160000,12032428,12030645,12031536.0000,35.8568,35392929.202697
2170000,12045153,12044753,12044953.0000,35.8968,35555398.081389
2180000,12058064,12059443,12058754.0000,35.9379,35717864.920554
2190000,12072062,12071592,12071827.0000,35.9768,35880332.677030
2200000,12084443,12084220,12084332.0000,36.0141,36043446.539287
2210000,12097715,12097209,12097462.0000,36.0532,36205916.433427
2220000,12111600,12111332,12111466.0000,36.0950,36368383.615570
2230000,12124076,12123963,12124020.0000,36.1324,36530852.422003
2240000,12137781,12137974,12137878.0000,36.1737,36693314.413274
2250000,12150386,12150963,12150674.0000,36.2118,36855781.480636
2260000,12165075,12163378,12164226.0000,36.2522,37018246.003319
2270000,12177580,12176161,12176870.0000,36.2899,37180710.718985
2280000,12189409,12189947,12189678.0000,36.3281,37343178.047440
2290000,12203402,12203096,12203249.0000,36.3685,37505647.175726
2300000,12217831,12216389,12217110.0000,36.4098,37668116.280208
2310000,12229471,12229199,12229335.0000,36.4463,37830587.220924
2320000,12241058,12242848,12241953.0000,36.4839,37993054.426563
2330000,12254834,12255140,12254987.0000,36.5227,38155522.347283
2340000,12267225,12267933,12267579.0000,36.5602,38318042.053260
2350000,12281794,12281435,12281614.0000,36.6021,38480564.768218
2360000,12293521,12292363,12292942.0000,36.6358,38643085.475258
2370000,12305560,12306403,12305982.0000,36.6747,38805613.430597
2380000,12319019,12319606,12319312.0000,36.7144,38968136.161072
2390000,12332207,12331853,12332030.0000,36.7523,39130661.946520
2400000,12344401,12344150,12344276.0000,36.7888,39293184.002243
2410000,12356639,12356211,12356425.0000,36.8250,39455708.975515
2420000,12368942,12369786,12369364.0000,36.8636,39618879.618549
2430000,12382724,12381750,12382237.0000,36.9019,39781399.726572
2440000,12395139,12393912,12394526.0000,36.9386,39943921.369939
2450000,12407030,12407893,12407462.0000,36.9771,40106443.452186
2460000,12420809,12420985,12420897.0000,37.0172,40268970.886197
2470000,12432575,12432572,12432574.0000,37.0520,40431493.498892
2480000,12444833,12445107,12444970.0000,37.0889,40594015.983462
2490000,12458264,12457863,12458064.0000,37.1279,40756536.365731
2500000,12469276,12470336,12469806.0000,37.1629,40919060.360055
2510000,12482703,12483017,12482860.0000,37.2018,41081584.498709
2520000,12494176,12495150,12494663.0000,37.2370,41244101.943841
2530000,12507113,12508355,12507734.0000,37.2760,41406621.755276
2540000,12521250,12518636,12519943.0000,37.3123,41569146.346229
2550000,12532066,12531885,12531976.0000,37.3482,41731669.426776
2560000,12544246,12542795,12543520.0000,37.3826,41894193.384370
2570000,12555726,12556712,12556219.0000,37.4204,42056715.936139
2580000,12568838,12569918,12569378.0000,37.4597,42219237.538123
2590000,12580314,12580743,12580528.0000,37.4929,42381761.232297
2600000,12592524,12593045,12592784.0000,37.5294,42544283.246245
2610000,12604852,12604888,12604870.0000,37.5654,42706804.566260
2620000,12617414,12616732,12617073.0000,37.6018,42869329.720022
2630000,12628816,12629397,12629106.0000,37.6377,43031850.470312
2640000,12642000,12642032,12642016.0000,37.6761,43194369.217960
2650000,12653967,12654111,12654039.0000,37.7120,43357537.523268
2660000,12665062,12664504,12664783.0000,37.7440,43520059.450122
2670000,12676586,12677060,12676823.0000,37.7799,43682579.306804
2680000,12689677,12690186,12689932.0000,37.8189,43845096.244645
2690000,12700461,12700285,12700373.0000,37.8501,44007614.775380
2700000,12713277,12712645,12712961.0000,37.8876,44170138.780528
2710000,12723804,12724768,12724286.0000,37.9213,44332658.818546
2720000,12735822,12736728,12736275.0000,37.9571,44495177.467100
2730000,12747893,12748219,12748056.0000,37.9922,44657691.813106
2740000,12760335,12760518,12760426.0000,38.0290,44820192.995587
2750000,12772007,12772100,12772054.0000,38.0637,44982657.906401
2760000,12784636,12785259,12784948.0000,38.1021,45145127.418516
2770000,12795517,12794955,12795236.0000,38.1328,45307600.139483
2780000,12806854,12807766,12807310.0000,38.1688,45470068.896989
2790000,12818072,12818929,12818500.0000,38.2021,45632533.064786
2800000,12830902,12831250,12831076.0000,38.2396,45795000.166769
2810000,12841277,12842849,12842063.0000,38.2723,45957465.664689
2820000,12852727,12853139,12852933.0000,38.3047,46119931.486619
2830000,12864596,12865423,12865010.0000,38.3407,46282403.389311
2840000,12876567,12876336,12876452.0000,38.3748,46444875.139277
2850000,12887825,12887979,12887902.0000,38.4089,46607341.968337
2860000,12899646,12899095,12899370.0000,38.4431,46769809.931027
2870000,12910828,12911607,12911218.0000,38.4784,46932932.448040
2880000,12922396,12922713,12922554.0000,38.5122,47095447.372899
2890000,12934392,12934498,12934445.0000,38.5476,47257971.883255
2900000,12945104,12946584,12945844.0000,38.5816,47420492.557902
2910000,12957027,12955560,12956294.0000,38.6128,47583017.204999
2920000,12968448,12967627,12968038.0000,38.6478,47745543.616892
2930000,12979736,12980809,12980272.0000,38.6842,47908064.731376
2940000,12990162,12990876,12990519.0000,38.7148,48070586.495743
2950000,13001569,13002404,13001986.0000,38.7489,48233107.025755
2960000,13012573,13013272,13012922.0000,38.7815,48395625.489611
2970000,13023784,13024765,13024274.0000,38.8154,48558147.742046
2980000,13034974,13035503,13035238.0000,38.8480,48720669.446060
2990000,13046426,13046108,13046267.0000,38.8809,48883189.510505
>>>>
iter,avg. prob., abs. value,abs. improv.,gt 75,gt 50,lt 50,lt 25
3000000,77.8265,26740972175,12513901,12907849,3867674,3339704
