INSTANCIA | NT | NM | MAKESPAN | WRR
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_s_hilo|2048|64|41777.527344|99405.281250
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_s_lohi|2048|64|142534.687500|99562.843750
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/2048x64.CPrio//B.u_s_lolo|2048|64|1473.959961|98479.125000



INSTANCIA | NT | NM | MAKESPAN | WRR
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_c_hihi|4096|128|23173816.000000|577759.937500
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_c_hilo|4096|128|2240514.000000|580488.750000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_c_lohi|4096|128|2248.580322|557039.812500
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_c_lolo|4096|128|223.900009|595666.750000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_i_hihi|4096|128|1499947.875000|151952.875000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_i_hilo|4096|128|151964.703125|152498.281250
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_i_lohi|4096|128|148.160004|152038.031250
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_i_lolo|4096|128|16.440001|152211.406250
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_s_hihi|4096|128|11886549.000000|233013.125000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_s_hilo|4096|128|1183544.500000|232877.484375
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_s_lohi|4096|128|1201.500000|229652.515625
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//A.u_s_lolo|4096|128|122.579987|232436.156250
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_c_hihi|4096|128|6912596.500000|563300.125000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_c_hilo|4096|128|66003.539062|590244.687500
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_c_lohi|4096|128|230424.156250|562475.812500
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_c_lolo|4096|128|2263.619873|556209.187500
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_i_hihi|4096|128|482051.250000|151032.109375
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_i_hilo|4096|128|5500.730469|154216.875000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_i_lohi|4096|128|14728.859375|149383.625000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_i_lolo|4096|128|169.520004|154859.265625
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_s_hihi|4096|128|3520566.500000|240823.000000
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_s_hilo|4096|128|37251.449219|228896.421875
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_s_lohi|4096|128|120234.929688|231752.968750
/home/santiago/eclipse/c-c++-workspace/AE/ProblemInstances/HCSP/4096x128.CPrio//B.u_s_lolo|4096|128|1244.709961|224509.281250
